rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
4,rf,iso,IPW-N,4.121798241855835,0.030371698529126988,0.4880184876614958,5.363237518910742
4,rf,iso,AIPW,5.328401543570701,0.030371698529126988,0.4880184876614958,5.363237518910742
4,rf,iso,AIPW-N,5.660391174160444,0.030371698529126988,0.4880184876614958,5.363237518910742
4,boost,raw,IPW,48.670148399604265,0.15415402267511674,0.4880184876614958,5.363237518910742
4,boost,raw,IPW-N,1.6531973822312693,0.15415402267511674,0.4880184876614958,5.363237518910742
4,boost,raw,AIPW,1.474179103530716,0.15415402267511674,0.4880184876614958,5.363237518910742
4,boost,raw,AIPW-N,5.249317132813134,0.15415402267511674,0.4880184876614958,5.363237518910742
4,boost,platt,IPW,6.319646508053923,0.03654685073734894,0.4880184876614958,5.363237518910742
4,boost,platt,IPW-N,7.175612104084605,0.03654685073734894,0.4880184876614958,5.363237518910742
4,boost,platt,AIPW,6.193145136706198,0.03654685073734894,0.4880184876614958,5.363237518910742
4,boost,platt,AIPW-N,6.162898355234141,0.03654685073734894,0.4880184876614958,5.363237518910742
4,boost,beta,IPW,5.978728959871121,0.036196419474432084,0.4880184876614958,5.363237518910742
4,boost,beta,IPW-N,7.1379232058133315,0.036196419474432084,0.4880184876614958,5.363237518910742
4,boost,beta,AIPW,6.166823478355919,0.036196419474432084,0.4880184876614958,5.363237518910742
4,boost,beta,AIPW-N,6.135086076338514,0.036196419474432084,0.4880184876614958,5.363237518910742
4,boost,iso,IPW,5.847463564582601,0.0599811903699283,0.4880184876614958,5.363237518910742
4,boost,iso,IPW-N,5.659168952000522,0.0599811903699283,0.4880184876614958,5.363237518910742
4,boost,iso,AIPW,6.2292475907457305,0.0599811903699283,0.4880184876614958,5.363237518910742
4,boost,iso,AIPW-N,6.3571493796217355,0.0599811903699283,0.4880184876614958,5.363237518910742
5,logit,raw,IPW,30.59902605437518,0.1853058431993927,0.5959682115479417,5.363237518910742
5,logit,raw,IPW-N,2.6627735551597134,0.1853058431993927,0.5959682115479417,5.363237518910742
5,logit,raw,AIPW,-0.5731963257659578,0.1853058431993927,0.5959682115479417,5.363237518910742
5,logit,raw,AIPW-N,4.534606047340277,0.1853058431993927,0.5959682115479417,5.363237518910742
5,logit,platt,IPW,8.583971629989783,0.024892165952996835,0.5959682115479417,5.363237518910742
5,logit,platt,IPW-N,7.6374653556855225,0.024892165952996835,0.5959682115479417,5.363237518910742
5,logit,platt,AIPW,5.757397206181779,0.024892165952996835,0.5959682115479417,5.363237518910742
5,logit,platt,AIPW-N,5.771465699645126,0.024892165952996835,0.5959682115479417,5.363237518910742
5,logit,beta,IPW,8.09000425750048,0.029505893121318245,0.5959682115479417,5.363237518910742
5,logit,beta,IPW-N,7.571621623605283,0.029505893121318245,0.5959682115479417,5.363237518910742
5,logit,beta,AIPW,5.764935792484016,0.029505893121318245,0.5959682115479417,5.363237518910742
5,logit,beta,AIPW-N,5.783912788125404,0.029505893121318245,0.5959682115479417,5.363237518910742
5,logit,iso,IPW,14.639048116429196,0.05161302255036137,0.5959682115479417,5.363237518910742
5,logit,iso,IPW-N,3.9923684111216975,0.05161302255036137,0.5959682115479417,5.363237518910742
5,logit,iso,AIPW,3.6344304415316824,0.05161302255036137,0.5959682115479417,5.363237518910742
5,logit,iso,AIPW-N,4.785856931458779,0.05161302255036137,0.5959682115479417,5.363237518910742
5,rf,raw,IPW,5.251738032464374,0.04065000000000001,0.5959682115479417,5.363237518910742
5,rf,raw,IPW-N,6.577231588141167,0.04065000000000001,0.5959682115479417,5.363237518910742
5,rf,raw,AIPW,5.56357739626476,0.04065000000000001,0.5959682115479417,5.363237518910742
5,rf,raw,AIPW-N,5.502886196483991,0.04065000000000001,0.5959682115479417,5.363237518910742
5,rf,platt,IPW,5.33750674935714,0.03033228111998359,0.5959682115479417,5.363237518910742
5,rf,platt,IPW-N,4.099348686719866,0.03033228111998359,0.5959682115479417,5.363237518910742
5,rf,platt,AIPW,4.254961067965737,0.03033228111998359,0.5959682115479417,5.363237518910742
5,rf,platt,AIPW-N,4.368761586173747,0.03033228111998359,0.5959682115479417,5.363237518910742
5,rf,beta,IPW,3.1452337036697906,0.03730991571292425,0.5959682115479417,5.363237518910742
5,rf,beta,IPW-N,3.4453217689552353,0.03730991571292425,0.5959682115479417,5.363237518910742
5,rf,beta,AIPW,3.6029590791324524,0.03730991571292425,0.5959682115479417,5.363237518910742
5,rf,beta,AIPW-N,3.8478936886376864,0.03730991571292425,0.5959682115479417,5.363237518910742
5,rf,iso,IPW,-1.2485224527163272,0.04917340825903958,0.5959682115479417,5.363237518910742
5,rf,iso,IPW-N,1.150429261278667,0.04917340825903958,0.5959682115479417,5.363237518910742
5,rf,iso,AIPW,1.4720730859410331,0.04917340825903958,0.5959682115479417,5.363237518910742
5,rf,iso,AIPW-N,2.722615542439818,0.04917340825903958,0.5959682115479417,5.363237518910742
5,boost,raw,IPW,37.94477062312539,0.15383635960346512,0.5959682115479417,5.363237518910742
5,boost,raw,IPW-N,-0.6150439764725029,0.15383635960346512,0.5959682115479417,5.363237518910742
5,boost,raw,AIPW,-3.4469785150628023,0.15383635960346512,0.5959682115479417,5.363237518910742
5,boost,raw,AIPW-N,2.707619154764624,0.15383635960346512,0.5959682115479417,5.363237518910742
5,boost,platt,IPW,6.656613640975581,0.0232508147746633,0.5959682115479417,5.363237518910742
5,boost,platt,IPW-N,6.168286849622065,0.0232508147746633,0.5959682115479417,5.363237518910742
5,boost,platt,AIPW,5.3437788689655825,0.0232508147746633,0.5959682115479417,5.363237518910742
5,boost,platt,AIPW-N,5.347610443108655,0.0232508147746633,0.5959682115479417,5.363237518910742
5,boost,beta,IPW,6.114096793582933,0.03402651218116666,0.5959682115479417,5.363237518910742
5,boost,beta,IPW-N,6.151118534463636,0.03402651218116666,0.5959682115479417,5.363237518910742
5,boost,beta,AIPW,5.2869641491849695,0.03402651218116666,0.5959682115479417,5.363237518910742
5,boost,beta,AIPW-N,5.284960646146208,0.03402651218116666,0.5959682115479417,5.363237518910742
5,boost,iso,IPW,5.42954799296615,0.03573412884768449,0.5959682115479417,5.363237518910742
5,boost,iso,IPW-N,-0.016222234289184456,0.03573412884768449,0.5959682115479417,5.363237518910742
5,boost,iso,AIPW,-0.6132799720066834,0.03573412884768449,0.5959682115479417,5.363237518910742
5,boost,iso,AIPW-N,1.8584810079556608,0.03573412884768449,0.5959682115479417,5.363237518910742
6,logit,raw,IPW,47.40908822428228,0.20829310470938653,0.587983305470738,5.363237518910742
6,logit,raw,IPW-N,2.018987587830246,0.20829310470938653,0.587983305470738,5.363237518910742
6,logit,raw,AIPW,-4.294445575819098,0.20829310470938653,0.587983305470738,5.363237518910742
6,logit,raw,AIPW-N,3.758797195127488,0.20829310470938653,0.587983305470738,5.363237518910742
6,logit,platt,IPW,7.001520400427884,0.04542306200351355,0.587983305470738,5.363237518910742
6,logit,platt,IPW-N,7.278899224433481,0.04542306200351355,0.587983305470738,5.363237518910742
6,logit,platt,AIPW,5.651271286899742,0.04542306200351355,0.587983305470738,5.363237518910742
6,logit,platt,AIPW-N,5.6779713542869725,0.04542306200351355,0.587983305470738,5.363237518910742
6,logit,beta,IPW,7.794062391993911,0.05173605844230892,0.587983305470738,5.363237518910742
6,logit,beta,IPW-N,7.152994152064405,0.05173605844230892,0.587983305470738,5.363237518910742
6,logit,beta,AIPW,5.643652781483367,0.05173605844230892,0.587983305470738,5.363237518910742
6,logit,beta,AIPW-N,5.6988294201925,0.05173605844230892,0.587983305470738,5.363237518910742
6,logit,iso,IPW,7.227536630164645,0.07782379385870164,0.587983305470738,5.363237518910742
6,logit,iso,IPW-N,5.211703425479179,0.07782379385870164,0.587983305470738,5.363237518910742
6,logit,iso,AIPW,4.329447343150431,0.07782379385870164,0.587983305470738,5.363237518910742
6,logit,iso,AIPW-N,4.849934732095272,0.07782379385870164,0.587983305470738,5.363237518910742
6,rf,raw,IPW,6.1909325608615955,0.03735083333333334,0.587983305470738,5.363237518910742
6,rf,raw,IPW-N,6.552264488294549,0.03735083333333334,0.587983305470738,5.363237518910742
